source	target	weight
#	z,ts	2.374302e-02
#	d_o,t_o	1.396648e-03
#	p_e,ph_7	1.396648e-03
#	f_u,f_u	1.396648e-03
#	s_i,s_i\	1.396648e-03
#	f_a,f_A	1.396648e-03
#	o,U	1.396648e-03
#	f_a,f_a	1.396648e-03
#	z_e,ts_@	1.396648e-03
#	t_v,th_y	1.396648e-03
#	m,m	3.212291e-02
#	s_e,s_@	1.396648e-03
#	m_a,m_a	1.396648e-03
#	n_u,n_u	1.396648e-03
#	g_v,k_y	1.396648e-03
#	q_u,ts\h_y{	1.396648e-03
#	e_r,a_r\`	1.396648e-03
#	s_o,s_U	1.396648e-03
#	b_e,p_7	1.396648e-03
#	s_u,s_u	1.396648e-03
#	b_u,p_u	1.396648e-03
#	k_o,kh_U	1.396648e-03
#	c_o,tsh_U	1.396648e-03
#	w_a,w_ua	4.189944e-03
#	u_a,w_ua	4.189944e-03
#	u_i,ue_:\i	1.396648e-03
#	p_o,ph_U	1.396648e-03
#	n_o,n_U	1.396648e-03
#	d_u,t_u	1.396648e-03
#	g_e,k_@	1.396648e-03
#	h_o,x_U	1.396648e-03
#	x_u,s\_y	1.396648e-03
#	n_v,n_y	1.396648e-03
#	f_v,f_y	1.396648e-03
a_n	a_:n	1.251518e-02
a_n	iE_:n	1.127881e-02
a_n	:n	3.810622e-03
b_v	p_y	6.435845e-04
c_u	tsh_u	6.622909e-04
c_u	tsh	2.435193e-08
c_u	tsh_ua	1.618217e-04
t_v	th_y	6.433645e-04
l_o	l_U	6.458219e-04
l_o	l_o	6.503498e-04
i_o	iAU	9.871263e-03
i_o	iU	1.480695e-02
i_o	j_iAU	7.050923e-04
i_o	j_iU	7.050930e-04
n	n	1.644433e-02
n	:n	2.126982e-02
n	i_:n	8.894139e-08
i_a	j_iA	7.050925e-04
i_a	j_iE	2.637182e-06
i_a	iA	9.871274e-03
i_a	ia	1.105411e-02
i_a	j_ia	9.727969e-04
n_e	n_@	6.951903e-04
n_e	n_7	6.458689e-04
d	t	1.644433e-02
t	th	1.644433e-02
o_u	i@U	1.410186e-03
o_u	@U	1.339677e-02
e	ie	3.082062e-08
e	7	3.642301e-03
e	@	3.663867e-03
l_i	l	2.024932e-03
l_i	l_i	1.529510e-03
z	ts	1.196556e-02
b_o	p_uo	7.050931e-04
b_o	p_U	6.460332e-04
g_o	k_o	6.503503e-04
g_o	k_U	6.458224e-04
q_i	ts\h_i	1.587067e-03
q_i	ts\h	2.052454e-03
h	x	1.644431e-02
z_h	ts`	1.833242e-02
h_u	x_ua	7.281033e-05
h_u	x_u	6.458692e-04
d_i	t	2.024932e-03
d_i	t_i	1.529510e-03
c_i	tsh_i\	7.050931e-04
f_a	f_A	6.461120e-04
f_a	f_a	7.399765e-04
e_r	a_r\`	7.050931e-04
v_a	j_y{	7.045405e-04
r_v	z`_y	6.603743e-04
j	ts\	1.110025e-02
u	w_ue	1.686529e-05
u	u	3.642301e-03
u	i@U	1.537944e-06
u	w_ua	5.578325e-08
j_i	ts\_i	1.587067e-03
j_i	ts\	2.052454e-03
c_e	tsh_@	7.304653e-04
c_e	tsh_7	6.622909e-04
a_o	AU	1.339677e-02
a_o	iAU	1.128149e-02
w_a	w_uA	7.050931e-04
w_a	w_ua	2.113933e-03
y_o	j_iAU	7.050917e-04
y_o	j_iU	7.050930e-04
s	s	1.196556e-02
x_u	s\_ua	2.603943e-06
x_u	s\_y	7.050931e-04
x_u	s\	1.268252e-07
x_u	s\_yE	1.060593e-04
x_u	s\_y{	7.050930e-04
s_h	s`	1.833242e-02
z_e	ts_7	6.622909e-04
z_e	ts_@	7.304653e-04
t_e	th_@	6.951903e-04
t_e	th_7	6.458689e-04
n_i	n	2.024932e-03
n_i	n_i	1.529511e-03
d_o	t_U	6.458219e-04
d_o	t_o	6.503498e-04
l_v	l_y	6.433645e-04
p_e	ph_@	6.955782e-04
p_e	ph_7	6.460800e-04
s_a	s_A	6.623123e-04
s_a	s_a	7.942947e-04
r_a	z`_A	6.622125e-04
r_a	z`_a	7.938701e-04
n_a	n_a	7.394106e-04
n_a	n_A	6.459011e-04
p_a	ph_A	6.461120e-04
p_a	ph_a	7.399765e-04
p_o	ph_U	6.460332e-04
p_o	ph_uo	7.050931e-04
y	j	4.928139e-03
s_v	s_y	6.604783e-04
h_v	x_y	6.433647e-04
g_a	k_A	6.459016e-04
g_a	k_a	7.394121e-04
j_u	ts\_y	7.050931e-04
j_u	ts\_y{	7.050930e-04
j_u	ts\_ua	2.603943e-06
j_u	ts\	1.268252e-07
j_u	ts\_yE	1.060593e-04
f_u	f_ua	7.350836e-05
f_u	f	1.035565e-08
f_u	f_u	6.460800e-04
f_o	f_U	6.460332e-04
f_o	f_uo	7.050931e-04
i	j	2.550060e-03
i	:\i	1.880585e-02
i	i	8.997109e-04
i	j_i	1.410157e-03
i	i`	2.140590e-03
t_u	th	1.026040e-08
t_u	th_u	6.458689e-04
t_u	th_ua	7.278865e-05
t_a	th_A	6.459010e-04
t_a	th_a	7.394106e-04
u_i	ue_:\i	1.619994e-02
n_o	n_U	6.458219e-04
n_o	n_o	6.503498e-04
c	tsh	1.196556e-02
t_o	th_U	6.458219e-04
t_o	th_o	6.503498e-04
s_i	s_i\	7.050931e-04
f_e	f_@	6.955782e-04
f_e	f_7	6.460800e-04
k_o	kh_U	6.458219e-04
k_o	kh_o	6.503498e-04
d_a	t_A	6.459010e-04
d_a	t_a	7.394106e-04
y_i	i	7.050931e-04
y_i	j_i	9.269988e-04
s_e	s_7	6.622909e-04
s_e	s_@	7.304653e-04
d_u	t_ua	7.278865e-05
d_u	t_u	6.458689e-04
b_u	p_u	6.460800e-04
b_u	p	1.035565e-08
b_u	p_ua	7.350836e-05
u_o	w_uo	6.941662e-04
u_o	uo	1.481788e-02
k_v	kh_y	6.433645e-04
z_o	ts_U	6.622561e-04
z_o	ts_o	6.655316e-04
w_u	w_ue	3.380348e-07
w_u	u	7.050931e-04
b_e	p_7	6.460800e-04
b_e	p_@	6.955782e-04
w_o	w_U	7.024533e-04
w_o	w_uo	7.050931e-04
m_o	m_U	6.460332e-04
m_o	m_uo	7.050931e-04
q	ts\h	1.110025e-02
z_i	ts_i\	7.050931e-04
