source	target	weight
#	r_r,cl_r	1.483680e-02
#	b_b,cl_by	1.483680e-02
#	a,a	2.967359e-03
#	k_y,ky	1.483680e-02
#	s_i,s_i	2.967359e-03
#	j_j,cl_j	2.967359e-02
#	g_g,cl_g	1.483680e-02
#	h_h,cl_hy	1.483680e-02
#	d_d,cl_d	1.483680e-02
#	s_u,s_u	2.967359e-03
#	z_o,z_o	2.967359e-03
#	r_e,r_e	2.967359e-03
#	g_o,g_o	2.967359e-03
#	g_y,gy	1.483680e-02
#	p_a,p_a	2.967359e-03
#	p_p,cl_py	1.483680e-02
#	c_l,cl	2.967359e-03
#	g_u,g_u	2.967359e-03
#	t_s,ts	1.483680e-02
#	k_u,k_u	2.967359e-03
#	l_a,r_a	2.967359e-03
#	v_i,v_i	2.967359e-03
#	p_u,p_u	2.967359e-03
#	h_h,cl_h	1.483680e-02
#	s_s,cl_s	1.483680e-02
#	t_u,t_u	2.967359e-03
#	b_i,b_i	2.967359e-03
#	y_i,y_i	2.967359e-03
#	j_y,j	1.483680e-02
#	t_t,cl_t	1.483680e-02
#	t_y,ty	1.483680e-02
#	k_w,kw	1.483680e-02
#	n_i,n_i	2.967359e-03
#	m_y,my	1.483680e-02
#	r_y,ry	1.483680e-02
#	p_o,p_o	2.967359e-03
#	d_i,d_i	2.967359e-03
#	d_y,dy	1.483680e-02
#	w_w,cl_w	1.483680e-02
#	j_a,j_a	2.967359e-03
#	k_k,cl_k	1.483680e-02
#	l_u,r_u	2.967359e-03
#	d_d,cl_dy	1.483680e-02
#	b_a,b_a	2.967359e-03
#	y_o,y_o	2.967359e-03
#	o,o	2.967359e-03
#	f_f,cl_f	1.483680e-02
#	s_h,sh	1.483680e-02
#	v_a,v_a	2.967359e-03
#	c_h,ch	1.483680e-02
#	f_a,f_a	2.967359e-03
#	b_b,cl_b	1.483680e-02
#	m_e,m_e	2.967359e-03
#	k_i,k_i	2.967359e-03
#	g_e,g_e	2.967359e-03
#	m_o,m_o	2.967359e-03
#	v_u,v_u	2.967359e-03
#	p_p,cl_p	1.483680e-02
#	g_a,g_a	2.967359e-03
#	f_u,f_u	2.967359e-03
#	w_a,w_a	2.967359e-03
#	c_c,cl_ch	1.483680e-02
#	v_v,cl_b	1.483680e-02
#	k_a,k_a	2.967359e-03
#	n_n,cl_n	1.483680e-02
#	n_y,ny	1.483680e-02
#	t_a,t_a	2.967359e-03
#	n_u,n_u	2.967359e-03
#	r_u,r_u	2.967359e-03
#	l_e,r_e	2.967359e-03
#	d_e,d_e	2.967359e-03
#	b_o,b_o	2.967359e-03
#	k_k,cl_ky	1.483680e-02
#	s_o,s_o	2.967359e-03
#	l_l,cl_r	1.483680e-02
#	b_e,b_e	2.967359e-03
#	g_i,g_i	2.967359e-03
#	l_i,r_i	2.967359e-03
#	k_e,k_e	2.967359e-03
#	d_u,d_u	2.967359e-03
#	j_i,j_i	2.967359e-03
#	e,e	2.967359e-03
#	h_i,h_i	2.967359e-03
#	m_m,cl_my	1.483680e-02
#	d_o,d_o	2.967359e-03
#	k_o,k_o	2.967359e-03
#	b_y,by	1.483680e-02
#	r_r,cl_ry	1.483680e-02
#	p_e,p_e	2.967359e-03
h_u,h_u	#	1.000000e+00
l_a,r_a	#	1.000000e+00
d_i,d_i	#	1.000000e+00
n_e,n_e	#	1.000000e+00
d_d,cl_dy	y_a,a	2.000000e-01
d_d,cl_dy	y_u,u	2.000000e-01
d_d,cl_dy	y_o,o	2.000000e-01
d_d,cl_dy	y_e,e	2.000000e-01
d_d,cl_dy	y_i,i	2.000000e-01
y_a,a	#	1.000000e+00
d_u,d_u	#	1.000000e+00
b_i,b_i	#	1.000000e+00
r_r,cl_r	o,o	2.000000e-01
r_r,cl_r	a,a	2.000000e-01
r_r,cl_r	i,i	2.000000e-01
r_r,cl_r	u,u	2.000000e-01
r_r,cl_r	e,e	2.000000e-01
